,Item Name,Class,Type,Rarity,Required Level,Stats,Description
61,Shadowed Stormhide Chest,Leather,Chest,Rare,29,"39 Armor, +2 Parry, +2 Block","A rare chest crafted from stormhide, valued highly by leather adventurers."
1,Valor's Shadowleather Chest,Leather,Chest,Rare,69,"92 Armor, +6 Crit, +6 Parry","A rare chest crafted from shadowleather, valued highly by leather adventurers."
58,Stormforged Stormhide Chest,Leather,Chest,Rare,76,"97 Armor, +7 Parry, +7 Crit","A rare chest crafted from stormhide, valued highly by leather adventurers."
26,Simple Stormhide Feet,Leather,Feet,Normal,5,6 Armor,"A normal feet crafted from stormhide, valued highly by leather adventurers."
54,Gleaming Hide Gloves,Leather,Gloves,Magic,25,"30 Armor, +2 AGI","A magic gloves crafted from hide, valued highly by leather adventurers."
37,Luminous Hide Head,Leather,Head,Magic,21,"29 Armor, +2 Block","A magic head crafted from hide, valued highly by leather adventurers."
86,Shadowed Shadowleather Head,Leather,Head,Rare,42,"59 Armor, +4 STAM, +4 STR","A rare head crafted from shadowleather, valued highly by leather adventurers."
32,Plain Stormhide Legs,Leather,Legs,Normal,31,45 Armor,"A normal legs crafted from stormhide, valued highly by leather adventurers."
10,Twilight Stormhide Legs,Leather,Legs,Rare,84,"94 Armor, +8 STR, +8 Crit","A rare legs crafted from stormhide, valued highly by leather adventurers."
97,Worn Shadowleather Waist,Leather,Waist,Normal,61,82 Armor,"A normal waist crafted from shadowleather, valued highly by leather adventurers."
50,Dragon's Stormhide Waist,Leather,Waist,Epic,77,"115 Armor, +7 Crit, +7 Parry, +7 Block","A epic waist crafted from stormhide, valued highly by leather adventurers."
82,Dragon's Stormmail Chest,Mail,Chest,Epic,78,"99 Armor, +7 AGI, +7 STR, +7 Dodge","A epic chest crafted from stormmail, valued highly by mail adventurers."
94,Simple Scale Gloves,Mail,Gloves,Normal,36,38 Armor,"A normal gloves crafted from scale, valued highly by mail adventurers."
18,Dragon's Chain Gloves,Mail,Gloves,Epic,78,"116 Armor, +7 STR, +7 Parry, +7 Crit","A epic gloves crafted from chain, valued highly by mail adventurers."
31,Valor's Silverweave Head,Mail,Head,Rare,43,"47 Armor, +4 AGI, +4 STR","A rare head crafted from silverweave, valued highly by mail adventurers."
59,Worn Silverweave Legs,Mail,Legs,Normal,14,21 Armor,"A normal legs crafted from silverweave, valued highly by mail adventurers."
4,Shadowed Chain Legs,Mail,Legs,Rare,43,"49 Armor, +4 Block, +4 Crit","A rare legs crafted from chain, valued highly by mail adventurers."
6,Plain Chain Legs,Mail,Legs,Normal,53,78 Armor,"A normal legs crafted from chain, valued highly by mail adventurers."
71,Shadowed Chain Wrist,Mail,Wrist,Rare,44,"59 Armor, +4 AGI, +4 STAM","A rare wrist crafted from chain, valued highly by mail adventurers."
20,Common Titanium Chest,Plate,Chest,Normal,26,36 Armor,"A normal chest crafted from titanium, valued highly by plate adventurers."
65,Enchanted Adamantite Chest,Plate,Chest,Magic,74,"104 Armor, +7 Dodge","A magic chest crafted from adamantite, valued highly by plate adventurers."
70,Mystic Titanium Chest,Plate,Chest,Magic,77,"106 Armor, +7 Parry","A magic chest crafted from titanium, valued highly by plate adventurers."
14,Simple Steel Gloves,Plate,Gloves,Normal,6,9 Armor,"A normal gloves crafted from steel, valued highly by plate adventurers."
25,Plain Steel Gloves,Plate,Gloves,Normal,12,13 Armor,"A normal gloves crafted from steel, valued highly by plate adventurers."
98,Dreadlord's Titanium Gloves,Plate,Gloves,Epic,60,"74 Armor, +6 STR, +6 INT, +6 Block","A epic gloves crafted from titanium, valued highly by plate adventurers."
16,Celestial Titanium Head,Plate,Head,Epic,75,"87 Armor, +7 Block, +7 STR, +7 Crit","A epic head crafted from titanium, valued highly by plate adventurers."
13,Celestial Adamantite Head,Plate,Head,Epic,79,"99 Armor, +7 Block, +7 STAM, +7 STR","A epic head crafted from adamantite, valued highly by plate adventurers."
44,Shadowed Titanium Legs,Plate,Legs,Rare,26,"33 Armor, +2 STAM, +2 Parry","A rare legs crafted from titanium, valued highly by plate adventurers."
56,Enchanted Adamantite Legs,Plate,Legs,Magic,56,"62 Armor, +5 Parry","A magic legs crafted from adamantite, valued highly by plate adventurers."
24,Simple Iron Legs,Plate,Legs,Normal,59,80 Armor,"A normal legs crafted from iron, valued highly by plate adventurers."
12,Shadowed Adamantite Waist,Plate,Waist,Rare,60,"63 Armor, +6 Parry, +6 AGI","A rare waist crafted from adamantite, valued highly by plate adventurers."
29,Celestial Adamantite Wrist,Plate,Wrist,Epic,75,"94 Armor, +7 Crit, +7 Parry, +7 INT","A epic wrist crafted from adamantite, valued highly by plate adventurers."
75,Worn Defender Shield,Shield,Shield,Normal,4,5 Armor,"A normal shield crafted from defender, valued highly by shield adventurers."
17,Gleaming Defender Shield,Shield,Shield,Magic,5,"7 Armor, +1 Dodge","A magic shield crafted from defender, valued highly by shield adventurers."
46,Common Defender Shield,Shield,Shield,Normal,10,13 Armor,"A normal shield crafted from defender, valued highly by shield adventurers."
49,Luminous Defender Shield,Shield,Shield,Magic,16,"18 Armor, +1 Dodge","A magic shield crafted from defender, valued highly by shield adventurers."
68,Common Bulwark Shield,Shield,Shield,Normal,17,18 Armor,"A normal shield crafted from bulwark, valued highly by shield adventurers."
88,Simple Barrier Shield,Shield,Shield,Normal,20,25 Armor,"A normal shield crafted from barrier, valued highly by shield adventurers."
36,Worn Defender Shield,Shield,Shield,Normal,23,27 Armor,"A normal shield crafted from defender, valued highly by shield adventurers."
63,Luminous Bulwark Shield,Shield,Shield,Magic,25,"37 Armor, +2 STAM","A magic shield crafted from bulwark, valued highly by shield adventurers."
64,Plain Aegis Shield,Shield,Shield,Normal,31,34 Armor,"A normal shield crafted from aegis, valued highly by shield adventurers."
92,Worn Barrier Shield,Shield,Shield,Normal,33,43 Armor,"A normal shield crafted from barrier, valued highly by shield adventurers."
85,Enchanted Aegis Shield,Shield,Shield,Magic,44,"51 Armor, +4 Parry","A magic shield crafted from aegis, valued highly by shield adventurers."
38,Plain Bulwark Shield,Shield,Shield,Normal,45,49 Armor,"A normal shield crafted from bulwark, valued highly by shield adventurers."
83,Luminous Barrier Shield,Shield,Shield,Magic,49,"73 Armor, +4 AGI","A magic shield crafted from barrier, valued highly by shield adventurers."
21,Common Aegis Shield,Shield,Shield,Normal,51,62 Armor,"A normal shield crafted from aegis, valued highly by shield adventurers."
99,Luminous Barrier Shield,Shield,Shield,Magic,54,"79 Armor, +5 Dodge","A magic shield crafted from barrier, valued highly by shield adventurers."
34,Shadowed Defender Shield,Shield,Shield,Rare,59,"82 Armor, +5 STAM, +5 STR","A rare shield crafted from defender, valued highly by shield adventurers."
11,Dragon's Bulwark Shield,Shield,Shield,Epic,65,"70 Armor, +6 STR, +6 STAM, +6 Block","A epic shield crafted from bulwark, valued highly by shield adventurers."
78,Eternal Defender Shield,Shield,Shield,Epic,65,"95 Armor, +6 Block, +6 AGI, +6 Dodge","A epic shield crafted from defender, valued highly by shield adventurers."
3,Dreadlord's Defender Shield,Shield,Shield,Epic,66,"92 Armor, +6 Parry, +6 INT, +6 Crit","A epic shield crafted from defender, valued highly by shield adventurers."
0,Simple Barrier Shield,Shield,Shield,Normal,72,99 Armor,"A normal shield crafted from barrier, valued highly by shield adventurers."
2,Valor's Aegis Shield,Shield,Shield,Rare,75,"76 Armor, +7 Dodge, +7 Crit","A rare shield crafted from aegis, valued highly by shield adventurers."
87,Mystic Defender Shield,Shield,Shield,Magic,78,"88 Armor, +7 Dodge","A magic shield crafted from defender, valued highly by shield adventurers."
81,Stormforged Defender Shield,Shield,Shield,Rare,85,"111 Armor, +8 AGI, +8 STAM","A rare shield crafted from defender, valued highly by shield adventurers."
95,Gleaming Edge 2H Axe,Weapon,2H Axe,Magic,10,+1 Parry,"A magic 2h axe crafted from edge, valued highly by weapon adventurers."
77,Gleaming Blade 2H Axe,Weapon,2H Axe,Magic,35,+3 INT,"A magic 2h axe crafted from blade, valued highly by weapon adventurers."
62,Simple Edge 2H Axe,Weapon,2H Axe,Normal,41,,"A normal 2h axe crafted from edge, valued highly by weapon adventurers."
22,Eternal Reaper 2H Axe,Weapon,2H Axe,Epic,66,"+6 Dodge, +6 AGI, +6 Parry","A epic 2h axe crafted from reaper, valued highly by weapon adventurers."
42,Eternal Reaper 2H Axe,Weapon,2H Axe,Epic,70,"+7 AGI, +7 Parry, +7 Dodge","A epic 2h axe crafted from reaper, valued highly by weapon adventurers."
72,Shadowed Whisper 2H Mace,Weapon,2H Mace,Rare,32,"+3 Parry, +3 Dodge","A rare 2h mace crafted from whisper, valued highly by weapon adventurers."
39,Dreadlord's Edge 2H Sword,Weapon,2H Sword,Epic,73,"+7 Crit, +7 Dodge, +7 STAM","A epic 2h sword crafted from edge, valued highly by weapon adventurers."
93,Plain Whisper Bow,Weapon,Bow,Normal,71,,"A normal bow crafted from whisper, valued highly by weapon adventurers."
96,Simple Blade Crossbow,Weapon,Crossbow,Normal,77,,"A normal crossbow crafted from blade, valued highly by weapon adventurers."
41,Common Fury Crossbow,Weapon,Crossbow,Normal,79,,"A normal crossbow crafted from fury, valued highly by weapon adventurers."
28,Dreadlord's Wrath Dagger,Weapon,Dagger,Epic,83,"+8 STR, +8 STAM, +8 Parry","A epic dagger crafted from wrath, valued highly by weapon adventurers."
15,Plain Fury Fist Weapon,Weapon,Fist Weapon,Normal,31,,"A normal fist weapon crafted from fury, valued highly by weapon adventurers."
45,Stormforged Edge Mace,Weapon,Mace,Rare,46,"+4 INT, +4 STR","A rare mace crafted from edge, valued highly by weapon adventurers."
76,Stormforged Blade Mace,Weapon,Mace,Rare,88,"+8 Parry, +8 STR","A rare mace crafted from blade, valued highly by weapon adventurers."
30,Luminous Wrath Staff,Weapon,Staff,Magic,20,+2 Dodge,"A magic staff crafted from wrath, valued highly by weapon adventurers."
60,Common Fury Staff,Weapon,Staff,Normal,27,,"A normal staff crafted from fury, valued highly by weapon adventurers."
40,Dragon's Fury Staff,Weapon,Staff,Epic,74,"+7 INT, +7 Parry, +7 Dodge","A epic staff crafted from fury, valued highly by weapon adventurers."
7,Dragon's Wrath Sword,Weapon,Sword,Epic,70,"+7 Crit, +7 Parry, +7 Dodge","A epic sword crafted from wrath, valued highly by weapon adventurers."
